"Año","Trimestre","Provincia","Número de denuncias por violencia de género"
"Año 2011","Cuarto","Girona","507.0"
"Año 2011","Cuarto","Lleida","197.0"
"Año 2011","Cuarto","Tarragona","614.0"
"Año 2011","Cuarto","Alicante/Alacant","1633.0"
"Año 2011","Cuarto","Castellón/Castelló","412.0"
"Año 2011","Cuarto","Valencia/València","2300.0"
"Año 2011","Cuarto","Badajoz","334.0"
"Año 2011","Cuarto","Cáceres","165.0"
"Año 2011","Cuarto","A Coruña","402.0"
"Año 2011","Cuarto","Lugo","123.0"
"Año 2011","Cuarto","Ourense","114.0"
"Año 2011","Cuarto","Pontevedra","502.0"
"Año 2011","Cuarto","Madrid","5028.0"
"Año 2011","Cuarto","Murcia","1311.0"
"Año 2011","Cuarto","Navarra","323.0"
"Año 2011","Cuarto","Araba/Álava","203.0"
"Año 2011","Cuarto","Gipuzkoa","278.0"
"Año 2011","Cuarto","Bizkaia","676.0"
"Año 2011","Cuarto","La Rioja","177.0"
"Año 2011","Cuarto","Ceuta","84.0"
"Año 2011","Cuarto","Melilla","78.0"
"Año 2012","Primero","Almería","505.0"
"Año 2012","Primero","Cádiz","888.0"
"Año 2012","Primero","Córdoba","197.0"
"Año 2012","Primero","Granada","901.0"
"Año 2012","Primero","Huelva","399.0"
"Año 2012","Primero","Jaén","355.0"
"Año 2012","Primero","Málaga","1492.0"
"Año 2012","Primero","Sevilla","1476.0"
"Año 2012","Primero","Huesca","75.0"
"Año 2012","Primero","Teruel","30.0"
"Año 2012","Primero","Zaragoza","723.0"
"Año 2012","Primero","Asturias","605.0"
"Año 2012","Primero","Illes Balears","1050.0"
"Año 2012","Primero","Las Palmas","1081.0"
"Año 2012","Primero","Santa Cruz de Tenerife","728.0"
"Año 2012","Primero","Cantabria","271.0"
"Año 2012","Primero","Ávila","85.0"
"Año 2012","Primero","Burgos","140.0"
"Año 2012","Primero","León","201.0"
"Año 2012","Primero","Palencia","61.0"
"Año 2012","Primero","Salamanca","102.0"
"Año 2012","Primero","Segovia","66.0"
"Año 2012","Primero","Soria","29.0"
"Año 2012","Primero","Valladolid","325.0"
"Año 2012","Primero","Zamora","71.0"
"Año 2012","Primero","Albacete","187.0"
"Año 2012","Primero","Ciudad Real","322.0"
"Año 2012","Primero","Cuenca","103.0"
"Año 2012","Primero","Guadalajara","136.0"
"Año 2012","Primero","Toledo","319.0"
"Año 2012","Primero","Barcelona","2924.0"
"Año 2012","Primero","Girona","576.0"
"Año 2012","Primero","Lleida","224.0"
"Año 2012","Primero","Tarragona","541.0"
"Año 2012","Primero","Alicante/Alacant","1597.0"
"Año 2012","Primero","Castellón/Castelló","426.0"
"Año 2012","Primero","Valencia/València","2044.0"
"Año 2012","Primero","Badajoz","282.0"
"Año 2012","Primero","Cáceres","165.0"
"Año 2012","Primero","A Coruña","346.0"
"Año 2012","Primero","Lugo","131.0"
"Año 2012","Primero","Ourense","119.0"
"Año 2012","Primero","Pontevedra","586.0"
"Año 2012","Primero","Madrid","5237.0"
"Año 2012","Primero","Murcia","1161.0"
"Año 2012","Primero","Navarra","327.0"
"Año 2012","Primero","Araba/Álava","177.0"
"Año 2012","Primero","Gipuzkoa","259.0"
"Año 2012","Primero","Bizkaia","486.0"
"Año 2012","Primero","La Rioja","187.0"
"Año 2012","Primero","Ceuta","105.0"
"Año 2012","Primero","Melilla","72.0"
"Año 2012","Segundo","Almería","590.0"
"Año 2012","Segundo","Cádiz","772.0"
"Año 2012","Segundo","Córdoba","227.0"
"Año 2012","Segundo","Granada","808.0"
"Año 2012","Segundo","Huelva","378.0"
"Año 2012","Segundo","Jaén","354.0"
"Año 2012","Segundo","Málaga","1620.0"
"Año 2012","Segundo","Sevilla","1772.0"
"Año 2012","Segundo","Huesca","72.0"
"Año 2012","Segundo","Teruel","29.0"
"Año 2012","Segundo","Zaragoza","697.0"
"Año 2012","Segundo","Asturias","564.0"
"Año 2012","Segundo","Illes Balears","1249.0"
"Año 2012","Segundo","Las Palmas","1055.0"
"Año 2012","Segundo","Santa Cruz de Tenerife","815.0"
"Año 2012","Segundo","Cantabria","296.0"
"Año 2012","Segundo","Ávila","73.0"
"Año 2012","Segundo","Burgos","162.0"
"Año 2012","Segundo","León","201.0"
"Año 2012","Segundo","Palencia","56.0"
"Año 2012","Segundo","Salamanca","113.0"
"Año 2012","Segundo","Segovia","54.0"
"Año 2012","Segundo","Soria","25.0"
"Año 2012","Segundo","Valladolid","327.0"
"Año 2012","Segundo","Zamora","75.0"
"Año 2012","Segundo","Albacete","153.0"
"Año 2012","Segundo","Ciudad Real","302.0"
"Año 2012","Segundo","Cuenca","120.0"
"Año 2012","Segundo","Guadalajara","198.0"
"Año 2012","Segundo","Toledo","341.0"
"Año 2012","Segundo","Barcelona","3095.0"
"Año 2012","Segundo","Girona","538.0"
"Año 2012","Segundo","Lleida","249.0"
"Año 2012","Segundo","Tarragona","690.0"
"Año 2012","Segundo","Alicante/Alacant","1950.0"
"Año 2012","Segundo","Castellón/Castelló","420.0"
"Año 2012","Segundo","Valencia/València","2369.0"
"Año 2012","Segundo","Badajoz","346.0"
"Año 2012","Segundo","Cáceres","152.0"
"Año 2012","Segundo","A Coruña","395.0"
"Año 2012","Segundo","Lugo","140.0"
"Año 2012","Segundo","Ourense","101.0"
"Año 2012","Segundo","Pontevedra","534.0"
"Año 2012","Segundo","Madrid","5409.0"
"Año 2012","Segundo","Murcia","1213.0"
"Año 2012","Segundo","Navarra","333.0"
"Año 2012","Segundo","Araba/Álava","130.0"
"Año 2012","Segundo","Gipuzkoa","222.0"
"Año 2012","Segundo","Bizkaia","591.0"
"Año 2012","Segundo","La Rioja","174.0"
"Año 2012","Segundo","Ceuta","90.0"
"Año 2012","Segundo","Melilla","65.0"
"Año 2012","Tercero","Almería","559.0"
"Año 2012","Tercero","Cádiz","876.0"
"Año 2012","Tercero","Córdoba","391.0"
"Año 2012","Tercero","Granada","885.0"
"Año 2012","Tercero","Huelva","421.0"
"Año 2012","Tercero","Jaén","364.0"
"Año 2012","Tercero","Málaga","1621.0"
"Año 2012","Tercero","Sevilla","1783.0"
"Año 2012","Tercero","Huesca","87.0"
"Año 2012","Tercero","Teruel","29.0"
"Año 2012","Tercero","Zaragoza","671.0"
"Año 2012","Tercero","Asturias","634.0"
"Año 2012","Tercero","Illes Balears","1344.0"
"Año 2012","Tercero","Las Palmas","1077.0"
"Año 2012","Tercero","Santa Cruz de Tenerife","1107.0"
"Año 2012","Tercero","Cantabria","265.0"
"Año 2012","Tercero","Ávila","99.0"
"Año 2012","Tercero","Burgos","173.0"
"Año 2012","Tercero","León","178.0"
"Año 2012","Tercero","Palencia","71.0"
"Año 2012","Tercero","Salamanca","98.0"
"Año 2012","Tercero","Segovia","53.0"
"Año 2012","Tercero","Soria","22.0"
"Año 2012","Tercero","Valladolid","254.0"
"Año 2012","Tercero","Zamora","77.0"
"Año 2012","Tercero","Albacete","198.0"
"Año 2012","Tercero","Ciudad Real","250.0"
"Año 2012","Tercero","Cuenca","196.0"
"Año 2012","Tercero","Guadalajara","186.0"
"Año 2012","Tercero","Toledo","359.0"
"Año 2012","Tercero","Barcelona","3372.0"
"Año 2012","Tercero","Girona","541.0"
"Año 2012","Tercero","Lleida","264.0"
"Año 2012","Tercero","Tarragona","576.0"
"Año 2012","Tercero","Alicante/Alacant","1939.0"
"Año 2012","Tercero","Castellón/Castelló","449.0"
"Año 2012","Tercero","Valencia/València","2266.0"
"Año 2012","Tercero","Badajoz","383.0"
"Año 2012","Tercero","Cáceres","141.0"
"Año 2012","Tercero","A Coruña","474.0"
"Año 2012","Tercero","Lugo","116.0"
"Año 2012","Tercero","Ourense","123.0"
"Año 2012","Tercero","Pontevedra","602.0"
"Año 2012","Tercero","Madrid","5187.0"
"Año 2012","Tercero","Murcia","1307.0"
"Año 2012","Tercero","Navarra","380.0"
"Año 2012","Tercero","Araba/Álava","226.0"
"Año 2012","Tercero","Gipuzkoa","240.0"
"Año 2012","Tercero","Bizkaia","582.0"
"Año 2012","Tercero","La Rioja","176.0"
"Año 2012","Tercero","Ceuta","74.0"
"Año 2012","Tercero","Melilla","68.0"
"Año 2012","Cuarto","Almería","469.0"
"Año 2012","Cuarto","Cádiz","926.0"
"Año 2012","Cuarto","Córdoba","359.0"
"Año 2012","Cuarto","Granada","853.0"
"Año 2012","Cuarto","Huelva","423.0"
"Año 2012","Cuarto","Jaén","388.0"
"Año 2012","Cuarto","Málaga","1589.0"
"Año 2012","Cuarto","Sevilla","1550.0"
"Año 2012","Cuarto","Huesca","74.0"
"Año 2012","Cuarto","Teruel","39.0"
"Año 2012","Cuarto","Zaragoza","702.0"
"Año 2012","Cuarto","Asturias","628.0"
"Año 2012","Cuarto","Illes Balears","1096.0"
"Año 2012","Cuarto","Las Palmas","1017.0"
"Año 2012","Cuarto","Santa Cruz de Tenerife","821.0"
"Año 2012","Cuarto","Cantabria","274.0"
"Año 2012","Cuarto","Ávila","59.0"
"Año 2012","Cuarto","Burgos","149.0"
"Año 2012","Cuarto","León","125.0"
"Año 2012","Cuarto","Palencia","62.0"
"Año 2012","Cuarto","Salamanca","106.0"
"Año 2012","Cuarto","Segovia","73.0"
"Año 2012","Cuarto","Soria","37.0"
"Año 2012","Cuarto","Valladolid","249.0"
"Año 2012","Cuarto","Zamora","81.0"
"Año 2012","Cuarto","Albacete","166.0"
"Año 2012","Cuarto","Ciudad Real","264.0"
"Año 2012","Cuarto","Cuenca","73.0"
"Año 2012","Cuarto","Guadalajara","195.0"
"Año 2012","Cuarto","Toledo","243.0"
"Año 2012","Cuarto","Barcelona","2921.0"
"Año 2012","Cuarto","Girona","480.0"
"Año 2012","Cuarto","Lleida","244.0"
"Año 2012","Cuarto","Tarragona","542.0"
"Año 2012","Cuarto","Alicante/Alacant","1760.0"
"Año 2012","Cuarto","Castellón/Castelló","435.0"
"Año 2012","Cuarto","Valencia/València","2175.0"
"Año 2012","Cuarto","Badajoz","332.0"
"Año 2012","Cuarto","Cáceres","166.0"
"Año 2012","Cuarto","A Coruña","418.0"
"Año 2012","Cuarto","Lugo","92.0"
"Año 2012","Cuarto","Ourense","123.0"
"Año 2012","Cuarto","Pontevedra","488.0"
"Año 2012","Cuarto","Madrid","5102.0"
"Año 2012","Cuarto","Murcia","1115.0"
"Año 2012","Cuarto","Navarra","293.0"
"Año 2012","Cuarto","Araba/Álava","201.0"
"Año 2012","Cuarto","Gipuzkoa","254.0"
"Año 2012","Cuarto","Bizkaia","485.0"
"Año 2012","Cuarto","La Rioja","164.0"
"Año 2012","Cuarto","Ceuta","72.0"
"Año 2012","Cuarto","Melilla","112.0"
"Año 2013","Primero","Almería","382.0"
"Año 2013","Primero","Cádiz","896.0"
"Año 2013","Primero","Córdoba","421.0"
"Año 2013","Primero","Granada","813.0"
"Año 2013","Primero","Huelva","304.0"
"Año 2013","Primero","Jaén","375.0"
"Año 2013","Primero","Málaga","1373.0"
"Año 2013","Primero","Sevilla","1542.0"
"Año 2013","Primero","Huesca","79.0"
"Año 2013","Primero","Teruel","30.0"
"Año 2013","Primero","Zaragoza","568.0"
"Año 2013","Primero","Asturias","641.0"
"Año 2013","Primero","Illes Balears","911.0"
"Año 2013","Primero","Las Palmas","944.0"
"Año 2013","Primero","Santa Cruz de Tenerife","783.0"
"Año 2013","Primero","Cantabria","285.0"
"Año 2013","Primero","Ávila","55.0"
"Año 2013","Primero","Burgos","165.0"
"Año 2013","Primero","León","167.0"
"Año 2013","Primero","Palencia","71.0"
"Año 2013","Primero","Salamanca","106.0"
"Año 2013","Primero","Segovia","51.0"
"Año 2013","Primero","Soria","23.0"
"Año 2013","Primero","Valladolid","239.0"
"Año 2013","Primero","Zamora","77.0"
"Año 2013","Primero","Albacete","168.0"
"Año 2013","Primero","Ciudad Real","300.0"
"Año 2013","Primero","Cuenca","90.0"
"Año 2013","Primero","Guadalajara","156.0"
"Año 2013","Primero","Toledo","287.0"
"Año 2013","Primero","Barcelona","2870.0"
"Año 2013","Primero","Girona","434.0"
"Año 2013","Primero","Lleida","215.0"
"Año 2013","Primero","Tarragona","528.0"
"Año 2013","Primero","Alicante/Alacant","1623.0"
"Año 2013","Primero","Castellón/Castelló","386.0"
"Año 2013","Primero","Valencia/València","2088.0"
"Año 2013","Primero","Badajoz","305.0"
"Año 2013","Primero","Cáceres","141.0"
"Año 2013","Primero","A Coruña","428.0"
"Año 2013","Primero","Lugo","112.0"
"Año 2013","Primero","Ourense","119.0"
"Año 2013","Primero","Pontevedra","583.0"
"Año 2013","Primero","Madrid","4722.0"
"Año 2013","Primero","Murcia","1142.0"
"Año 2013","Primero","Navarra","281.0"
"Año 2013","Primero","Araba/Álava","173.0"
"Año 2013","Primero","Gipuzkoa","204.0"
"Año 2013","Primero","Bizkaia","522.0"
"Año 2013","Primero","La Rioja","152.0"
"Año 2013","Primero","Ceuta","80.0"
"Año 2013","Primero","Melilla","77.0"
"Año 2013","Segundo","Almería","622.0"
"Año 2013","Segundo","Cádiz","972.0"
"Año 2013","Segundo","Córdoba","429.0"
"Año 2013","Segundo","Granada","883.0"
"Año 2013","Segundo","Huelva","435.0"
"Año 2013","Segundo","Jaén","361.0"
"Año 2013","Segundo","Málaga","1563.0"
"Año 2013","Segundo","Sevilla","1631.0"
"Año 2013","Segundo","Huesca","72.0"
"Año 2013","Segundo","Teruel","34.0"
"Año 2013","Segundo","Zaragoza","650.0"
"Año 2013","Segundo","Asturias","633.0"
"Año 2013","Segundo","Illes Balears","1040.0"
"Año 2013","Segundo","Las Palmas","941.0"
"Año 2013","Segundo","Santa Cruz de Tenerife","857.0"
"Año 2013","Segundo","Cantabria","264.0"
"Año 2013","Segundo","Ávila","71.0"
"Año 2013","Segundo","Burgos","144.0"
"Año 2013","Segundo","León","207.0"
"Año 2013","Segundo","Palencia","75.0"
"Año 2013","Segundo","Salamanca","32.0"
"Año 2013","Segundo","Segovia","37.0"
"Año 2013","Segundo","Soria","28.0"
"Año 2013","Segundo","Valladolid","256.0"
"Año 2013","Segundo","Zamora","53.0"
"Año 2013","Segundo","Albacete","195.0"
"Año 2013","Segundo","Ciudad Real","267.0"
"Año 2013","Segundo","Cuenca","117.0"
"Año 2013","Segundo","Guadalajara","227.0"
"Año 2013","Segundo","Toledo","340.0"
"Año 2013","Segundo","Barcelona","3056.0"
"Año 2013","Segundo","Girona","489.0"
"Año 2013","Segundo","Lleida","217.0"
"Año 2013","Segundo","Tarragona","540.0"
"Año 2013","Segundo","Alicante/Alacant","1623.0"
"Año 2013","Segundo","Castellón/Castelló","423.0"
"Año 2013","Segundo","Valencia/València","2267.0"
"Año 2013","Segundo","Badajoz","310.0"
"Año 2013","Segundo","Cáceres","173.0"
"Año 2013","Segundo","A Coruña","457.0"
"Año 2013","Segundo","Lugo","138.0"
"Año 2013","Segundo","Ourense","113.0"
"Año 2013","Segundo","Pontevedra","602.0"
"Año 2013","Segundo","Madrid","4964.0"
"Año 2013","Segundo","Murcia","1063.0"
"Año 2013","Segundo","Navarra","308.0"
"Año 2013","Segundo","Araba/Álava","189.0"
"Año 2013","Segundo","Gipuzkoa","266.0"
"Año 2013","Segundo","Bizkaia","549.0"
"Año 2013","Segundo","La Rioja","149.0"
"Año 2013","Segundo","Ceuta","84.0"
"Año 2013","Segundo","Melilla","78.0"
"Año 2013","Tercero","Almería","541.0"
"Año 2013","Tercero","Cádiz","969.0"
"Año 2013","Tercero","Córdoba","448.0"
"Año 2013","Tercero","Granada","854.0"
"Año 2013","Tercero","Huelva","490.0"
"Año 2013","Tercero","Jaén","369.0"
"Año 2013","Tercero","Málaga","1914.0"
"Año 2013","Tercero","Sevilla","1636.0"
"Año 2013","Tercero","Huesca","90.0"
"Año 2013","Tercero","Teruel","30.0"
"Año 2013","Tercero","Zaragoza","689.0"
"Año 2013","Tercero","Asturias","614.0"
"Año 2013","Tercero","Illes Balears","1319.0"
"Año 2013","Tercero","Las Palmas","1025.0"
"Año 2013","Tercero","Santa Cruz de Tenerife","750.0"
"Año 2013","Tercero","Cantabria","310.0"
"Año 2013","Tercero","Ávila","50.0"
"Año 2013","Tercero","Burgos","151.0"
"Año 2013","Tercero","León","234.0"
"Año 2013","Tercero","Palencia","88.0"
"Año 2013","Tercero","Salamanca","108.0"
"Año 2013","Tercero","Segovia","77.0"
"Año 2013","Tercero","Soria","30.0"
"Año 2013","Tercero","Valladolid","365.0"
"Año 2013","Tercero","Zamora","63.0"
"Año 2013","Tercero","Albacete","221.0"
"Año 2013","Tercero","Ciudad Real","293.0"
"Año 2013","Tercero","Cuenca","114.0"
"Año 2013","Tercero","Guadalajara","172.0"
"Año 2013","Tercero","Toledo","382.0"
"Año 2013","Tercero","Barcelona","3140.0"
"Año 2013","Tercero","Girona","465.0"
"Año 2013","Tercero","Lleida","235.0"
"Año 2013","Tercero","Tarragona","614.0"
"Año 2013","Tercero","Alicante/Alacant","1719.0"
"Año 2013","Tercero","Castellón/Castelló","421.0"
"Año 2013","Tercero","Valencia/València","2379.0"
"Año 2013","Tercero","Badajoz","367.0"
"Año 2013","Tercero","Cáceres","184.0"
"Año 2013","Tercero","A Coruña","485.0"
"Año 2013","Tercero","Lugo","135.0"
"Año 2013","Tercero","Ourense","136.0"
"Año 2013","Tercero","Pontevedra","623.0"
"Año 2013","Tercero","Madrid","4988.0"
"Año 2013","Tercero","Murcia","1146.0"
"Año 2013","Tercero","Navarra","311.0"
"Año 2013","Tercero","Araba/Álava","208.0"
"Año 2013","Tercero","Gipuzkoa","276.0"
"Año 2013","Tercero","Bizkaia","568.0"
"Año 2013","Tercero","La Rioja","135.0"
"Año 2013","Tercero","Ceuta","47.0"
"Año 2013","Tercero","Melilla","72.0"
"Año 2013","Cuarto","Almería","534.0"
"Año 2013","Cuarto","Cádiz","896.0"
"Año 2013","Cuarto","Córdoba","329.0"
"Año 2013","Cuarto","Granada","743.0"
"Año 2013","Cuarto","Huelva","411.0"
"Año 2013","Cuarto","Jaén","367.0"
"Año 2013","Cuarto","Málaga","1359.0"
"Año 2013","Cuarto","Sevilla","1614.0"
"Año 2013","Cuarto","Huesca","71.0"
"Año 2013","Cuarto","Teruel","36.0"
"Año 2013","Cuarto","Zaragoza","725.0"
"Año 2013","Cuarto","Asturias","550.0"
"Año 2013","Cuarto","Illes Balears","1102.0"
"Año 2013","Cuarto","Las Palmas","1048.0"
"Año 2013","Cuarto","Santa Cruz de Tenerife","763.0"
"Año 2013","Cuarto","Cantabria","278.0"
"Año 2013","Cuarto","Ávila","57.0"
"Año 2013","Cuarto","Burgos","127.0"
"Año 2013","Cuarto","León","214.0"
"Año 2013","Cuarto","Palencia","96.0"
"Año 2013","Cuarto","Salamanca","66.0"
"Año 2013","Cuarto","Segovia","51.0"
"Año 2013","Cuarto","Soria","23.0"
"Año 2013","Cuarto","Valladolid","442.0"
"Año 2013","Cuarto","Zamora","54.0"
"Año 2013","Cuarto","Albacete","226.0"
"Año 2013","Cuarto","Ciudad Real","270.0"
"Año 2013","Cuarto","Cuenca","100.0"
"Año 2013","Cuarto","Guadalajara","144.0"
"Año 2013","Cuarto","Toledo","290.0"
"Año 2013","Cuarto","Barcelona","3032.0"
"Año 2013","Cuarto","Girona","495.0"
"Año 2013","Cuarto","Lleida","229.0"
"Año 2013","Cuarto","Tarragona","590.0"
"Año 2013","Cuarto","Alicante/Alacant","1535.0"
"Año 2013","Cuarto","Castellón/Castelló","420.0"
"Año 2013","Cuarto","Valencia/València","2186.0"
"Año 2013","Cuarto","Badajoz","305.0"
"Año 2013","Cuarto","Cáceres","149.0"
"Año 2013","Cuarto","A Coruña","402.0"
"Año 2013","Cuarto","Lugo","147.0"
"Año 2013","Cuarto","Ourense","126.0"
"Año 2013","Cuarto","Pontevedra","568.0"
"Año 2013","Cuarto","Madrid","4832.0"
"Año 2013","Cuarto","Murcia","1305.0"
"Año 2013","Cuarto","Navarra","319.0"
"Año 2013","Cuarto","Araba/Álava","181.0"
"Año 2013","Cuarto","Gipuzkoa","218.0"
"Año 2013","Cuarto","Bizkaia","583.0"
"Año 2013","Cuarto","La Rioja","112.0"
"Año 2013","Cuarto","Ceuta","58.0"
"Año 2013","Cuarto","Melilla","84.0"
"Año 2014","Primero","Almería","502.0"
"Año 2014","Primero","Cádiz","864.0"
"Año 2014","Primero","Córdoba","390.0"
"Año 2014","Primero","Granada","880.0"
"Año 2014","Primero","Huelva","394.0"
"Año 2014","Primero","Jaén","433.0"
"Año 2014","Primero","Málaga","1364.0"
"Año 2014","Primero","Sevilla","1568.0"
"Año 2014","Primero","Huesca","85.0"
"Año 2014","Primero","Teruel","38.0"
"Año 2014","Primero","Zaragoza","695.0"
"Año 2014","Primero","Asturias","674.0"
"Año 2014","Primero","Illes Balears","1008.0"
"Año 2014","Primero","Las Palmas","932.0"
"Año 2014","Primero","Santa Cruz de Tenerife","745.0"
"Año 2014","Primero","Cantabria","268.0"
"Año 2014","Primero","Ávila","69.0"
"Año 2014","Primero","Burgos","151.0"
"Año 2014","Primero","León","234.0"
"Año 2014","Primero","Palencia","76.0"
"Año 2014","Primero","Salamanca","83.0"
"Año 2014","Primero","Segovia","47.0"
"Año 2014","Primero","Soria","33.0"
"Año 2014","Primero","Valladolid","508.0"
"Año 2014","Primero","Zamora","75.0"
"Año 2014","Primero","Albacete","200.0"
"Año 2014","Primero","Ciudad Real","294.0"
"Año 2014","Primero","Cuenca","98.0"
"Año 2014","Primero","Guadalajara","85.0"
"Año 2014","Primero","Toledo","304.0"
"Año 2014","Primero","Barcelona","2894.0"
"Año 2014","Primero","Girona","423.0"
"Año 2014","Primero","Lleida","216.0"
"Año 2014","Primero","Tarragona","569.0"
"Año 2014","Primero","Alicante/Alacant","1548.0"
"Año 2014","Primero","Castellón/Castelló","329.0"
"Año 2014","Primero","Valencia/València","2255.0"
"Año 2014","Primero","Badajoz","312.0"
"Año 2014","Primero","Cáceres","152.0"
"Año 2014","Primero","A Coruña","454.0"
"Año 2014","Primero","Lugo","140.0"
"Año 2014","Primero","Ourense","109.0"
"Año 2014","Primero","Pontevedra","502.0"
"Año 2014","Primero","Madrid","4730.0"
"Año 2014","Primero","Murcia","1060.0"
"Año 2014","Primero","Navarra","368.0"
"Año 2014","Primero","Araba/Álava","155.0"
"Año 2014","Primero","Gipuzkoa","243.0"
"Año 2014","Primero","Bizkaia","575.0"
"Año 2014","Primero","La Rioja","138.0"
"Año 2014","Primero","Ceuta","57.0"
"Año 2014","Primero","Melilla","85.0"
"Año 2014","Segundo","Almería","552.0"
"Año 2014","Segundo","Cádiz","1017.0"
"Año 2014","Segundo","Córdoba","383.0"
"Año 2014","Segundo","Granada","857.0"
"Año 2014","Segundo","Huelva","391.0"
"Año 2014","Segundo","Jaén","441.0"
"Año 2014","Segundo","Málaga","1386.0"
"Año 2014","Segundo","Sevilla","1640.0"
"Año 2014","Segundo","Huesca","65.0"
"Año 2014","Segundo","Teruel","35.0"
"Año 2014","Segundo","Zaragoza","713.0"
"Año 2014","Segundo","Asturias","634.0"
"Año 2014","Segundo","Illes Balears","1212.0"
"Año 2014","Segundo","Las Palmas","922.0"
"Año 2014","Segundo","Santa Cruz de Tenerife","755.0"
"Año 2014","Segundo","Cantabria","336.0"
"Año 2014","Segundo","Ávila","57.0"
"Año 2014","Segundo","Burgos","178.0"
"Año 2014","Segundo","León","219.0"
"Año 2014","Segundo","Palencia","39.0"
"Año 2014","Segundo","Salamanca","99.0"
"Año 2014","Segundo","Segovia","80.0"
"Año 2014","Segundo","Soria","36.0"
"Año 2014","Segundo","Valladolid","471.0"
"Año 2014","Segundo","Zamora","71.0"
"Año 2014","Segundo","Albacete","206.0"
"Año 2014","Segundo","Ciudad Real","218.0"
"Año 2014","Segundo","Cuenca","83.0"
"Año 2014","Segundo","Guadalajara","146.0"
"Año 2014","Segundo","Toledo","306.0"
"Año 2014","Segundo","Barcelona","3117.0"
"Año 2014","Segundo","Girona","439.0"
"Año 2014","Segundo","Lleida","201.0"
"Año 2014","Segundo","Tarragona","589.0"
"Año 2014","Segundo","Alicante/Alacant","1656.0"
"Año 2014","Segundo","Castellón/Castelló","419.0"
"Año 2014","Segundo","Valencia/València","2128.0"
"Año 2014","Segundo","Badajoz","299.0"
"Año 2014","Segundo","Cáceres","181.0"
"Año 2014","Segundo","A Coruña","463.0"
"Año 2014","Segundo","Lugo","165.0"
"Año 2014","Segundo","Ourense","140.0"
"Año 2014","Segundo","Pontevedra","596.0"
"Año 2014","Segundo","Madrid","4739.0"
"Año 2014","Segundo","Murcia","1322.0"
"Año 2014","Segundo","Navarra","311.0"
"Año 2014","Segundo","Araba/Álava","163.0"
"Año 2014","Segundo","Gipuzkoa","290.0"
"Año 2014","Segundo","Bizkaia","591.0"
"Año 2014","Segundo","La Rioja","173.0"
"Año 2014","Segundo","Ceuta","89.0"
"Año 2014","Segundo","Melilla","80.0"
"Año 2014","Tercero","Almería","521.0"
"Año 2014","Tercero","Cádiz","951.0"
"Año 2014","Tercero","Córdoba","475.0"
"Año 2014","Tercero","Granada","885.0"
"Año 2014","Tercero","Huelva","431.0"
"Año 2014","Tercero","Jaén","398.0"
"Año 2014","Tercero","Málaga","1674.0"
"Año 2014","Tercero","Sevilla","1832.0"
"Año 2014","Tercero","Huesca","91.0"
"Año 2014","Tercero","Teruel","40.0"
"Año 2014","Tercero","Zaragoza","718.0"
"Año 2014","Tercero","Asturias","568.0"
"Año 2014","Tercero","Illes Balears","1350.0"
"Año 2014","Tercero","Las Palmas","1069.0"
"Año 2014","Tercero","Santa Cruz de Tenerife","797.0"
"Año 2014","Tercero","Cantabria","347.0"
"Año 2014","Tercero","Ávila","76.0"
"Año 2014","Tercero","Burgos","167.0"
"Año 2014","Tercero","León","205.0"
"Año 2014","Tercero","Palencia","29.0"
"Año 2014","Tercero","Salamanca","82.0"
"Año 2014","Tercero","Segovia","46.0"
"Año 2014","Tercero","Soria","35.0"
"Año 2014","Tercero","Valladolid","563.0"
"Año 2014","Tercero","Zamora","90.0"
"Año 2014","Tercero","Albacete","213.0"
"Año 2014","Tercero","Ciudad Real","341.0"
"Año 2014","Tercero","Cuenca","69.0"
"Año 2014","Tercero","Guadalajara","150.0"
"Año 2014","Tercero","Toledo","376.0"
"Año 2014","Tercero","Barcelona","3183.0"
"Año 2014","Tercero","Girona","505.0"
"Año 2014","Tercero","Lleida","258.0"
"Año 2014","Tercero","Tarragona","640.0"
"Año 2014","Tercero","Alicante/Alacant","1685.0"
"Año 2014","Tercero","Castellón/Castelló","410.0"
"Año 2014","Tercero","Valencia/València","2285.0"
"Año 2014","Tercero","Badajoz","344.0"
"Año 2014","Tercero","Cáceres","153.0"
"Año 2014","Tercero","A Coruña","504.0"
"Año 2014","Tercero","Lugo","113.0"
"Año 2014","Tercero","Ourense","125.0"
"Año 2014","Tercero","Pontevedra","582.0"
"Año 2014","Tercero","Madrid","4933.0"
"Año 2014","Tercero","Murcia","1259.0"
"Año 2014","Tercero","Navarra","371.0"
"Año 2014","Tercero","Araba/Álava","186.0"
"Año 2014","Tercero","Gipuzkoa","310.0"
"Año 2014","Tercero","Bizkaia","536.0"
"Año 2014","Tercero","La Rioja","106.0"
"Año 2014","Tercero","Ceuta","60.0"
"Año 2014","Tercero","Melilla","64.0"
"Año 2014","Cuarto","Almería","509.0"
"Año 2014","Cuarto","Cádiz","974.0"
"Año 2014","Cuarto","Córdoba","405.0"
"Año 2014","Cuarto","Granada","825.0"
"Año 2014","Cuarto","Huelva","384.0"
"Año 2014","Cuarto","Jaén","433.0"
"Año 2014","Cuarto","Málaga","1499.0"
"Año 2014","Cuarto","Sevilla","1652.0"
"Año 2014","Cuarto","Huesca","52.0"
"Año 2014","Cuarto","Teruel","44.0"
"Año 2014","Cuarto","Zaragoza","665.0"
